**********
Total number of connected components: 41948
**********
Word | # Components | Max Degree :# Vertices w/ Max Degree | Word List w/ Max Degree
----------------------------------------------------------------------------

#$%#@                        |    1 |    1 : 1    | ['f'] 
#1                           |    1 |    1 : 1    | ['champion'] 
#10                          |    1 |    1 : 1    | ['six'] 
#2                           |    1 |    1 : 1    | ['experiment'] 
#hashtag                     |    2 |    1 : 2    | ['#nodr', 'blog'] 
#nodr                        |    2 |    1 : 2    | ['#hashtag', 'dr'] 
#one                         |    2 |    1 : 2    | ['leak', 'pee'] 
$                            |    6 |    1 : 6    | ['allowance', 'bank', 'optimism', 'rich', 'symbol', 'tariff'] 
$$                           |    6 |    1 : 6    | ['allowance', 'dollar', 'hard', 'juice', 'taxes', 'work'] 
$$$$                         |    2 |    1 : 2    | ['finance', 'rich'] 
$$money$$                    |    2 |    1 : 2    | ['green', 'hush'] 
$200                         |    1 |    1 : 1    | ['go'] 
$23                          |    1 |    1 : 1    | ['$35'] 
$35                          |    2 |    1 : 2    | ['$23', 'motors'] 
$4                           |    2 |    1 : 2    | ['magazine', 'money'] 
$54                          |    2 |    1 : 2    | ['extortion', 'starbucks'] 
$fortune$                    |    2 |    1 : 2    | ['fame', 'outrageous'] 
$hit                         |    2 |    1 : 2    | ['bull', 'sewage'] 
$money$                      |    2 |    1 : 2    | ['happiness', 'need'] 
$pend                        |    2 |    1 : 2    | ['bucks', 'malls'] 
'exopolitics                 |    1 |    1 : 1    | ['exoskeletal'] 
-deaf                        |    2 |    1 : 2    | ['dead', 'stone'] 
-engine                      |    2 |    1 : 2    | ['cry', 'motor'] 
0                            |    3 |    1 : 3    | ['binary', 'double', 'seven'] 
00                           |    1 |    1 : 1    | ['song'] 
000                          |    2 |    1 : 2    | ['emergency', 'one'] 
007                          |   18 |    3 : 1    | ['bond'] 
009                          |    2 |    1 : 2    | ['lebron', 'no'] 
0207                         |    2 |    1 : 2    | ['007', '7'] 
08                           |    1 |    1 : 1    | ['stockholm'] 
1                            |   27 |    6 : 1    | ['2'] 
1%                           |    3 |    1 : 3    | ['2%', 'billionaire', 'ficticious'] 
10                           |   16 |    4 : 1    | ['perfect'] 
100                          |    5 |    2 : 1    | ['centurion'] 
100%                         |    4 |    1 : 4    | ['complete', 'percentage', 'perfect', 'perfection'] 
1001                         |    3 |    2 : 1    | ['nights'] 
100m                         |    2 |    2 : 2    | ['bolt', 'race'] 
100yards                     |    2 |    1 : 2    | ['distance', 'football'] 
101                          |    4 |    1 : 4    | ['dalmatians', 'dalmation', 'introductory', 'psychology'] 
10101010                     |    2 |    1 : 2    | ['binary', 'computers'] 
102                          |    2 |    1 : 2    | ['dalmatian', 'f'] 
1066                         |    3 |    2 : 1    | ['hastings'] 
109                          |    2 |    1 : 2    | ['me', 'prime'] 
10pts                        |    1 |    1 : 1    | ['cyclist'] 
11                           |    2 |    1 : 2    | ['apollo', 'moon'] 
11111001111                  |    2 |    1 : 2    | ['7cf', 'people'] 
12                           |    2 |    1 : 2    | ['monthly', 'yearly'] 
123                          |    4 |    2 : 1    | ['abc'] 
123456789                    |    2 |    1 : 2    | ['countdown', 'digits'] 
125                          |    1 |    1 : 1    | ['shilton'] 
